개선된 게임프레스 DPS 기반의 속성별 레이드 성능 | 제작: Hawaii,,,,,,,,,,,,,,,,,,,,,,
시즌: 새로운 발걸음 | 2026년 6월 2일~2026년 9월 8일,,,,,,,,,,,,,,,,,,,,,,
,,,,,491,다크라이,,악,바크아웃,,악,속임수,28.4,1632.8,37547.8,77.9,83.1,71.2,81.1,AAA,,
,4717,M,,,130M,갸라도스(메가),,악,물기,,악,깨물어부수기,24.7,2151.1,32243.5,75.0,72.1,93.8,78.1,AAA,,
,3625,S,,,이름 재입력,그림자 포푸니라,,악,바크아웃,,악,속임수,29.6,1236.3,32069.4,74.9,86.5,53.9,78.0,ABA,,
,3005,,,,248,마기라스,,악,물기,,악,세차게휘두르기,25.4,1949.7,31981.6,74.8,74.3,85.1,77.9,AAA,,
,3739,,,,635,삼삼드래,,악,물기,,악,세차게휘두르기*,26.0,1714.8,29989.7,73.6,75.9,74.8,76.7,AAA,,
,,,,,이름 재입력,다크라이²,,악,바크아웃,,악,악의파동,26.3,1512.9,27660.4,72.2,77.0,66.0,75.1,ABA,,
,,M,,,이름 재입력,앱솔(메가)²,,악,바크아웃,,악,악의파동,29.1,1083.1,26742.6,71.5,85.1,47.3,74.5,ABA,,
,,,,,이름 재입력,대도각참,,악,바크아웃,,악,악의파동,22.3,2292.3,25277.2,69.5,65.1,100.0,72.4,BSA,,
,3301,,,,717,이벨타르,,악,바크아웃,,악,악의파동,23.5,1764.9,22781.9,68.7,68.6,77.0,71.6,BAA,,
,,S,,,,그림자 돈크로우,,악,바크아웃,,악,악의파동,28.1,953.9,21123.3,67.5,82.1,41.6,70.2,ABA,,
,,,,,720U,후파(굴레를 벗어난),,고스트,놀래키기,,악,악의파동,24.5,1654.1,24467.2,67.4,71.8,72.2,70.2,AAA,,
,2711,,,,727,어흥염,,악,바크아웃,,악,DD래리어트,24.0,1514.6,20811.6,67.2,70.0,66.1,70.0,ABB,,
,3833,,,,이름 재입력,자루도,,악,물기,,악,악의파동,21.8,1790.4,18497.0,65.3,63.7,78.1,67.9,BAB,,
,4006,,,,461,포푸니라,,악,바크아웃,,악,속임수,24.6,1233.2,18358.1,65.1,71.9,53.8,67.8,ABB,,
,3005,,,,799,악식킹,,악,바크아웃,,악,세차게휘두르기,21.6,1613.5,16331.1,63.2,63.2,70.4,65.9,BAB,,
,2887,,,,571,조로아크,,악,바크아웃,,악,속임수,25.4,883.7,14489.4,61.4,74.3,38.6,63.9,ABB,,
,2571,,,,430,돈크로우,,악,바크아웃,,악,악의파동,23.2,948.1,11914.2,58.5,68.0,41.4,60.9,BBB,,
,,S,,,이름 재입력,그림자 밤선인,,악,기습,,악,보복,24.4,712.4,10339.9,56.4,71.3,31.1,58.8,ABB,,
,2711,,,,553,악비아르,,악,바크아웃,,악,깨물어부수기,20.4,1172.4,9890.0,55.8,59.5,51.2,58.1,BBB,,
,2996,DWI,,,146G,파이어(가라르),,악,기습,,악,보복,18.7,1474.3,9667.3,55.5,54.7,64.3,57.8,BBB,,
,3046,,,,332,밤선인,,악,기습,,악,보복,20.4,714.6,6055.9,49.4,59.6,31.2,51.4,BBB,,
제작: Hawaii,최신버전주소: bit.ly/pogoraidspec,,,최신버전: bit.ly/pogoraidspec,,,,,*대단한 기술머신 필요,,,,,,,,● 종합(ER) = (DPS³ × TDO)^(0.25),,,,,
2026-09-01,CP (Lv. 40),,1열,레벨 40,2열,포켓몬,3열,4열,일반공격,5열,6열,차징공격,DPS,TDO,D3T,ER,DPS(%),TDO(%),종합(%),평가,,DPS-TDO 그래프
,,,,,,,,,,,,,36.9,1512.9,43653.1,88.4,34.5,1296.8,78.0,BSA,,
,,,,,,,,,,,,,,,,,0.0,0.0,0.0,FFF,,
,4346,M,,,719M,디안시(메가),,바위,돌떨구기,,바위,스톤샤워,31.5,1203.3,37626.5,78.0,91.2,92.8,100.0,AAS,,
,,S,,,,그림자 거대코뿌리,,바위,떨어뜨리기,,바위,암석포*,31.1,1166.0,34930.0,75.9,89.9,89.9,97.2,AAA,,
바위,,M,,,248M,마기라스(메가),,바위,떨어뜨리기*,,바위,스톤에지,27.6,1608.9,33911.9,75.3,80.0,124.1,96.5,ASA,,
,,S,,,,그림자 레지기가스,,바위,잠재파워(바위),,노말,묵사발*,31.9,979.0,31721.7,75.1,92.3,75.5,96.2,AAA,,
,5347,S,,,,그림자 램펄드,,바위,떨어뜨리기,,바위,스톤샤워,34.5,749.4,30861.3,74.2,100.0,57.8,95.0,SBA,,
,4118,S,,,이름 재입력,그림자 기가이어스,,노말,록온,,바위,메테오빔*,30.5,1052.1,29785.5,73.5,88.3,81.1,94.2,AAA,,
,3834,S,,,이름 재입력,그림자 견고라스,,바위,돌떨구기,,바위,메테오빔,30.2,1070.1,29398.1,71.8,87.4,82.5,92.0,AAA,,
,,M,,,142M,프테라(메가),,바위,돌떨구기,,바위,스톤샤워,27.6,1191.9,25173.8,69.9,80.1,91.9,89.6,AAA,,
,3298,,,,이름 재입력,킬라플로르,,바위,돌떨구기,,바위,메테오빔,26.8,1087.3,21007.5,67.5,77.7,83.8,86.4,AAA,,
,,S,,,이름 재입력,그림자 마기라스,,바위,떨어뜨리기*,,바위,스톤에지,27.6,1021.5,21580.2,67.3,80.1,78.8,86.2,AAA,,
,3733,S,,,이름 재입력,그림자 보스로라,,바위,떨어뜨리기,,바위,메테오빔,25.0,1239.7,19356.2,65.7,72.4,95.6,84.1,AAA,,
,3000,,,,이름 재입력,거대코뿌리¹,,바위,떨어뜨리기,,바위,암석포*,25.5,1152.9,19195.0,65.3,73.9,88.9,83.7,AAA,,
,3128,,,,이름 재입력,기가이어스¹,,노말,록온,,바위,메테오빔*,25.4,1051.3,17170.2,64.0,73.5,81.1,82.1,AAA,,
,3698,,,,409,램펄드,,바위,떨어뜨리기,,바위,스톤샤워,28.4,739.4,16883.5,63.8,82.2,57.0,81.7,ABA,,
,3228,,,,697,견고라스,,바위,돌떨구기,,바위,메테오빔,25.0,1067.3,16748.4,62.4,72.5,82.3,80.0,AAA,,
,,,,,639,테라키온,,바위,떨어뜨리기,,바위,스톤샤워,24.3,1015.8,14663.6,61.6,70.5,78.3,78.9,AAA,,
,,,,,이름 재입력,기가이어스²,,바위,떨어뜨리기,,바위,메테오빔*,23.9,992.2,13628.9,60.5,69.4,76.5,77.5,BAA,,
,2783,S,,,이름 재입력,그림자 프테라,,바위,돌떨구기,,바위,스톤샤워,26.2,724.3,12962.0,59.2,75.7,55.9,75.9,ABA,,
,3834,M,,,306M,보스로라(메가),,바위,떨어뜨리기,,바위,메테오빔,21.4,1296.8,12629.0,58.9,61.8,100.0,75.4,BSA,,
,4162,,,,248,마기라스,,바위,떨어뜨리기*,,바위,스톤에지,23.0,1018.6,12313.8,58.5,66.5,78.6,74.9,BAA,,
,3733,,,,306,보스로라,,바위,떨어뜨리기,,바위,메테오빔,20.8,1240.4,11213.5,57.3,60.3,95.7,73.4,BAA,,
,,,,,이름 재입력,거대코뿌리²,,바위,떨어뜨리기,,바위,스톤에지,22.3,1010.8,11172.3,57.1,64.5,78.0,73.1,BAA,,
,3000,,,,793,텅비드,,독,독찌르기,,바위,스톤샤워,20.3,1167.9,9738.3,55.7,58.7,90.1,71.3,BAA,,
,3949,S,,,이름 재입력,그림자 딱구리,,바위,돌떨구기,,바위,스톤에지,24.0,726.3,9980.9,55.5,69.4,56.0,71.1,BBA,,
,2949,,,,,차곡차곡,,바위,돌떨구기,,바위,스톤에지,19.7,1236.5,9474.2,54.9,57.1,95.4,70.4,BAA,,
,2802,,,,699,아마루르가,,바위,돌떨구기,,바위,메테오빔,21.3,954.8,9227.0,54.8,61.7,73.6,70.3,BAA,,
,3228,,,,,돌헨진,,바위,돌떨구기,,바위,스톤샤워,21.6,917.9,9220.7,54.8,62.5,70.8,70.3,BAA,,
,2783,,,,142,프테라,,바위,돌떨구기,,바위,스톤샤워,21.6,719.6,7269.9,51.3,62.6,55.5,65.7,BBB,,
,2949,,,,76,딱구리,,바위,돌떨구기,,바위,스톤에지,19.9,725.7,5743.0,48.3,57.7,56.0,61.9,BBB,,
,2734,,,,719,디안시,,바위,돌떨구기,,바위,스톤샤워,18.2,833.5,5009.5,47.1,52.7,64.3,60.4,BBB,,
,3122,,,,377,레지락,,바위,돌떨구기,,바위,스톤에지,17.0,1015.8,4961.3,47.0,49.1,78.3,60.2,BAB,,
제작: Hawaii,최신버전주소: bit.ly/pogoraidspec,,,최신버전: bit.ly/pogoraidspec,,,,,*대단한 기술머신 필요,,,,,,,,● 종합(ER) = (DPS³ × TDO)^(0.25),,,,,
2026-09-01,CP (Lv. 40),,1열,레벨 40,2열,포켓몬,3열,4열,일반공격,5열,6열,차징공격,DPS,TDO,D3T,ER,DPS(%),TDO(%),종합(%),평가,,DPS-TDO 그래프
,,,,,,,,,,,,,39.4,2484.2,74640.2,101.9,34.4,2414.9,100.9,BSS,,
,,,,,,,,,,,,,,,,,0.0,0.0,0.0,FFF,,
,5902,PO,,,이름 재입력,그란돈(원시)¹,,땅,머드샷,,땅,단애의칼*,34.4,2627.5,107096.3,100.9,100.0,108.8,100.0,SSS,,
,,PO,,,이름 재입력,그란돈(원시)²,,땅,머드샷,,땅,지진,31.6,2414.9,76389.1,92.7,91.9,100.0,91.9,ASA,,
땅,5902,M,,,,한카리아스(메가),,땅,머드샷,,땅,대지의힘*,31.2,2556.8,77549.2,91.7,90.6,105.9,90.9,ASA,,
,,S,,,,그림자 그란돈,,땅,머드샷,,땅,단애의칼*,32.4,1548.0,52622.0,84.2,94.1,64.1,83.4,ABA,,
,3962,S,,,이름 재입력,그림자 한카리아스¹,,땅,머드샷,,땅,대지의힘*,29.7,1775.0,46452.2,80.7,86.3,73.5,80.0,AAA,,
,,S,,,,그림자 몰드류,,땅,진흙뿌리기,,땅,열사의대지,31.1,1485.9,44564.8,79.1,90.3,61.5,78.4,ABA,,
,,S,,,이름 재입력,그림자 한카리아스²,,땅,머드샷,,땅,지진,29.0,1741.9,42596.9,79.0,84.3,72.1,78.3,AAA,,
,,S,,,,그림자 랜드로스(화신폼),,땅,머드샷,,땅,열사의폭풍*,33.6,1040.0,39287.4,78.8,97.5,43.1,78.1,ABA,,
,3962,S,,,,그림자 거대코뿌리,,땅,진흙뿌리기,,땅,지진,28.7,1604.6,37946.6,76.9,83.4,66.4,76.2,ABA,,
,,,,,,랜드로스(영물폼)¹,,땅,머드샷,,땅,열사의폭풍*,30.6,1121.9,32199.4,75.0,89.0,46.5,74.3,ABA,,
,,,,,383,그란돈¹,,땅,머드샷,,땅,단애의칼*,27.0,1548.5,30426.0,73.4,78.4,64.1,72.7,ABA,,
,4401,M,,,260M,대짱이(메가),,땅,머드샷,,땅,지진,25.9,1606.6,27833.3,72.6,75.2,66.5,72.0,ABA,,
,3328,,,,445,한카리아스,,땅,머드샷,,땅,대지의힘*,24.6,1767.6,26282.6,70.0,71.5,73.2,69.4,AAB,,
,3962,S,,,이름 재입력,그림자 맘모꾸리,,땅,진흙뿌리기,,땅,10만마력,30.6,923.1,26507.9,69.7,89.0,38.2,69.1,ABB,,
,,,,,,몰드류,,땅,진흙뿌리기,,땅,열사의대지,25.6,1476.3,24846.2,68.4,74.5,61.1,67.8,ABB,,
,4115,,,,이름 재입력,그란돈²,,땅,머드샷,,땅,지진,24.8,1421.7,21608.9,67.4,72.0,58.9,66.8,ABB,,
,2854,,,,이름 재입력,거대코뿌리¹,,땅,진흙뿌리기,,땅,지진,23.8,1599.6,21591.7,66.8,69.2,66.2,66.2,BBB,,
,,S,,,이름 재입력,그림자 골루그,,땅,진흙뿌리기,,땅,대지의힘,27.1,1005.4,19940.8,65.8,78.7,41.6,65.2,ABB,,
,3733,,,,이름 재입력,랜드로스(영물폼)²,,땅,머드샷,,땅,지진,26.7,979.0,18652.8,65.4,77.6,40.5,64.8,ABB,,
,3244,,,,이름 재입력,거대코뿌리²,,땅,진흙뿌리기,,땅,드릴라이너,23.2,1554.9,19440.6,65.0,67.4,64.4,64.5,BBB,,
,3922,S,,,,그림자 하마돈,,땅,모래뿌리기,,땅,대지의힘,24.4,1138.6,16572.2,63.0,70.9,47.1,62.5,ABB,,
,2949,,,,645IF,랜드로스(화신폼),,땅,머드샷,,땅,대지의힘,25.0,930.0,14567.7,61.5,72.7,38.5,60.9,ABB,,
,3588,,,,473,맘모꾸리,,땅,진흙뿌리기,,땅,10만마력,25.3,917.1,14819.5,60.3,73.5,38.0,59.7,ABB,,
,3328,S,,,이름 재입력,그림자 딱구리,,땅,머드샷,,땅,지진,23.7,1064.4,14246.4,60.2,69.0,44.1,59.7,BBB,,
,2974,S,,,이름 재입력,그림자 대짱이,,땅,머드샷,,땅,지진,23.6,996.4,13123.5,60.2,68.6,41.3,59.7,BBB,,
,3179,S,,,이름 재입력,그림자 다투곰(히스이),,노말,몸통박치기,,땅,10만마력*,22.5,1156.1,13177.8,59.5,65.4,47.9,59.0,BBB,,
,2854,,,,112,코뿌리,,땅,진흙뿌리기,,땅,지진,22.1,1254.3,13484.2,59.4,64.1,51.9,58.8,BBB,,
,3013,,,,623,골루그,,땅,진흙뿌리기,,땅,대지의힘,22.4,998.7,11184.4,56.9,65.0,41.4,56.4,BBB,,
,,,,,232,코리갑,,땅,진흙뿌리기,,땅,지진,21.2,1009.9,9597.1,55.0,61.5,41.8,54.5,BBB,,
,2949,,,,,하마돈,,땅,모래뿌리기,,땅,대지의힘,20.2,1133.3,9379.6,54.7,58.8,46.9,54.2,BBB,,
,,,,,76,딱구리,,땅,머드샷,,땅,지진,19.8,1066.6,8278.9,52.6,57.5,44.2,52.1,BBB,,
,3854,,,,389,토대부기,,땅,진흙뿌리기,,땅,지진,20.2,1084.1,8991.9,52.4,58.8,44.9,52.0,BBB,,
,,,,,260,대짱이,,땅,머드샷,,땅,지진,19.7,995.9,7579.7,52.5,57.2,41.2,52.0,BBB,,
제작: Hawaii,최신버전주소: bit.ly/pogoraidspec,,,최신버전: bit.ly/pogoraidspec,,,,,*대단한 기술머신 필요,,,,,,,,● 종합(ER) = (DPS³ × TDO)^(0.25),,,,,
2026-09-01,CP (Lv. 40),,1열,레벨 40,2열,포켓몬,3열,4열,일반공격,5열,6열,차징공격,DPS,TDO,D3T,ER,DPS(%),TDO(%),종합(%),평가,,DPS-TDO 그래프
,,,,,,,,,,,,,37.8,1807.4,50639.6,92.9,36.8,1794.5,88.7,BSA,,
,,,,,,,,,,,,,,,,,0.0,0.0,0.0,FFF,,
,5902,PA,,,이름 재입력,가이오가(원시)¹,,물,폭포오르기,,물,근원의파동*,35.1,1922.8,82942.3,95.0,95.3,107.2,107.0,ASS,,
,,M,,,,"개굴닌자(메가)¹
2026년 9월 5일 메가피날레",,물,물수리검,,물,파도타기++++,40.4,1252.0,82694.7,94.9,109.9,69.8,106.9,SBS,,
,,M,,,이름 재입력,아쿠스타(메가)¹,,물,물대포,,물,아쿠아브레이크++++,36.8,1269.4,63232.2,88.7,100.0,70.7,100.0,SAS,,
,5902,PA,,,이름 재입력,가이오가(원시)²,,물,폭포오르기,,물,파도타기,32.7,1794.5,63021.9,88.7,89.0,100.0,99.9,ASA,,
물,4401,M,,,260M,대짱이(메가),,물,물대포,,물,하이드로캐논*,30.9,1671.8,49123.0,83.4,83.9,93.2,93.9,AAA,,
,,M,,,,개굴닌자(메가)²,,물,물수리검,,물,하이드로캐논*,35.1,1086.8,47151.6,82.5,95.5,60.6,92.9,ABA,,
,,S,,,,그림자 가이오가,,물,폭포오르기,,물,근원의파동*,32.9,1219.1,43513.3,80.8,89.5,67.9,91.1,ABA,,
,3941,M,,,이름 재입력,거북왕(메가),,물,물대포,,물,하이드로캐논*,28.9,1229.3,29782.8,73.5,78.6,68.5,82.9,ABA,,
,4717,M,,,130M,갸라도스(메가),,물,폭포오르기,,물,하이드로펌프,27.3,1372.8,27853.3,72.3,74.1,76.5,81.5,AAA,,
,,S,,,,그림자 개굴닌자,,물,물수리검,,물,하이드로캐논*,32.7,720.3,25105.3,70.4,88.8,40.1,79.4,ABA,,
,2974,,,,382,가이오가¹,,물,폭포오르기,,물,근원의파동*,27.3,1214.7,24798.3,70.2,74.3,67.7,79.1,ABA,,
,4115,S,,,이름 재입력,그림자 대짱이,,물,물대포,,물,하이드로캐논*,28.6,1049.9,24440.8,70.0,77.6,58.5,78.9,ABA,,
,2857,S,,,이름 재입력,그림자 갸라도스,,물,폭포오르기,,물,하이드로펌프,27.3,1154.9,23521.9,67.7,74.2,64.4,76.3,ABA,,
,,,,,이름 재입력,가이오가²,,물,폭포오르기,,물,파도타기,25.6,1137.7,19116.2,65.8,69.6,63.4,74.2,BBA,,
,4115,,,,,인텔리레온¹,,물,물대포,,물,하이드로캐논*,29.6,721.4,18765.7,65.5,80.5,40.2,73.8,ABA,,
,,S,,,,그림자 엠페르트,,물,폭포오르기,,물,하이드로캐논*,29.1,760.5,18776.2,64.9,79.1,42.4,73.2,ABA,,
,3391,S,,,이름 재입력,그림자 장크로다일,,물,폭포오르기,,물,하이드로캐논*,27.9,833.9,18120.2,64.9,75.8,46.5,73.2,ABA,,
,,,,,914,웨이니발,,물,물대포,,물,하이드로캐논*,26.5,951.6,17751.7,64.6,72.1,53.0,72.8,ABA,,
,,,,,730,누리레느,,물,폭포오르기,,물,하이드로캐논*,25.7,916.8,15488.3,62.4,69.7,51.1,70.4,BBA,,
,2654,M,,,이름 재입력,아쿠스타(메가)²,,물,물대포,,물,파도타기,25.3,873.2,14192.5,61.1,68.9,48.7,68.8,BBB,,
,2974,,,,658,개굴닌자,,물,물수리검,,물,하이드로캐논*,26.9,713.1,13928.2,60.8,73.2,39.7,68.5,ABB,,
,2829,,,,260,대짱이,,물,물대포,,물,하이드로캐논*,23.6,1041.5,13668.1,60.5,64.1,58.0,68.2,BBB,,
,2826,,,,99,킹크랩,,물,거품,,물,집게해머,26.6,698.1,13185.5,60.0,72.4,38.9,67.6,ABB,,
,,,,,,인텔리레온²,,물,물대포,,물,노려맞히기,26.9,654.4,12714.6,59.4,73.1,36.5,67.0,ABB,,
,2857,,,,130,갸라도스¹,,물,폭포오르기,,물,하이드로펌프,22.7,1152.3,13405.1,58.8,61.6,64.2,66.3,BBB,,
,3755,,,,503,대검귀,,물,폭포오르기,,물,하이드로캐논*,24.1,794.1,11118.4,57.5,65.5,44.3,64.8,BBB,,
,2466,M,,,80M,야도란(메가),,물,물대포,,물,파도타기*,21.0,1104.6,10232.5,56.3,57.1,61.6,63.4,BBB,,
,2763,,,,160,장크로다일,,물,폭포오르기,,물,하이드로캐논*,23.0,824.9,10023.8,56.0,62.5,46.0,63.1,BBB,,
,,,,,395,엠페르트,,물,폭포오르기,,물,하이드로캐논*,23.9,751.0,10267.5,55.8,65.0,41.9,62.9,BBB,,
